"","artist","artist_genres","tracks.track.name","artist_id","tracks.track.id","tracks.track.popularity","danceability","energy","key","loudness","speechiness","acousticness","liveness","valence","tempo"
"1","Mata","polish hip hop","PATOPROHIBICJA (28.01.2022)","0MIG6gMcQTSvFbKvUwK0id","4uOHYc6dCVLcNdQBRUlA0G",71,0.735,0.672,10,-5.03,0.0639,0.0744,0.0942,0.324,95.035
"2","White 2115","polish hip hop","18","4nPxrGG7k7aEKmNLsfX4cd","06cJ7hTMrHG7ajs0no3XJw",63,0.711,0.658,0,-8.825,0.181,0.315,0.108,0.385,98.006
"3","2115","polish hip hop","BEDOESIARA","3rnzk5HZE15IjAp0yiP41m","7kRCfAV3W39reD8Tjie8jP",69,0.919,0.575,1,-8.751,0.242,0.228,0.114,0.717,104.999
"4","Smolasty","polish hip hop","Pijemy Za Lepszy Czas","5GwdnlZaSwKpHmjcAijATP","032CWjRKDdkVHAsrdgOj1w",65,0.709,0.633,6,-7.865,0.0845,0.152,0.224,0.45,143.134
"5","Oki","polish hip hop","Jakie To Uczucie?","1oxn6cQ37twQ7yGnlE3ETd","01ss574aTs8b4E1fL1yDDW",71,0.822,0.653,0,-6.113,0.172,0.079,0.122,0.758,109.034
"6","Mr. Polska","dutch hip hop","Z³ote Tarasy","1A6HQzOvtGaCYihOuIKjE6","0dorKIz071s55Jy0zxb4aW",76,0.878,0.604,7,-7.411,0.334,0.52,0.286,0.928,127.034
"7","Kate Bush","art pop","Running Up That Hill (A Deal With God)","1aSxMhuvixZ8h9dK9jIDwL","75FEaRjZTKLhTrFGsfMUXR",84,0.629,0.547,10,-13.123,0.055,0.72,0.0604,0.197,108.375
"8","Bia³as","polish hip hop","Zosia","2ufQfSFDFXfMS7MEMzdGZE","785dMrfsQWxg1hcPWXnyli",71,0.826,0.629,2,-8.881,0.17,0.479,0.195,0.864,139.993
"9","Oki","polish hip hop","Je¿yk!","1oxn6cQ37twQ7yGnlE3ETd","05vIFEbXYpmGOsLgWZVJCX",74,0.73,0.64,9,-6.703,0.138,0.0356,0.32,0.52,136.023
"10","Alberto","polish hip hop","La Manga","79b4a4Bg30Y0RlO5de5jni","7ApeFeWYcnTTGOpo5b9Yx6",71,0.844,0.586,9,-10.061,0.0725,0.402,0.0792,0.676,115.001
"11","Sentino","polish hip hop","Midas","6DAQjwwMGZ9QgqHhIkU7H0","7u67sgTIVLxqkQTDIBTw2K",70,0.697,0.802,5,-6.274,0.129,0.0408,0.372,0.456,150.047
"12","Oki","polish hip hop","Pieni¹dze, Dziewczyny, Zwrotki","1oxn6cQ37twQ7yGnlE3ETd","4opJMB2zYbRF24WF2tMSLB",52,0.781,0.525,9,-6.635,0.068,0.128,0.0437,0.291,134.026
"13","Miszel","polish hip hop","dres","726tAAHoBnNpFvjHLZHsN4","15TrHBCTobTCJ4ojq9mABc",59,0.664,0.617,8,-8.804,0.115,0.352,0.235,0.637,146.098
"14","Malik Montana","polish hip hop","Self Made","1Kjs5u8GQf6zCFdTj6SI9E","4yRqjKmYzKutOFsQRaDAkV",61,0.58,0.64,1,-6.77,0.237,0.00269,0.125,0.571,160.201
"15","sanah","polish pop","ostatnia nadzieja","0TMvoNR0AIJV138mHY6jdE","2KTfSSKBBfMLXwDqrtoOE5",68,0.688,0.721,4,-7.931,0.0326,0.126,0.583,0.493,104.973
"16","Tribbs","other","Zatañczysz ze mn¹","6iqDK7aHVlwGGgPmcdSK5L","7mJlWux2bUOGUFMyCeDU8R",65,0.744,0.928,11,-4.071,0.238,0.0084,0.14,0.302,127.964
